year,cnt,platform
2015,17362.0,fhv
2016,9335.0,fhv
2009,320166.0,yellow
2010,306271.0,yellow
2011,323737.0,yellow
2012,331741.0,yellow
2013,380544.0,yellow
2014,395504.0,yellow
2015,360245.0,yellow
2016,180144.0,yellow
2013,796.0,green
2014,10125.0,green
2015,10709.0,green
2016,5411.0,green
