year,cnt,platform
2015,762931.0,fhv
2016,1528986.0,fhv
2009,5797987.0,yellow
2010,5896736.0,yellow
2011,6578320.0,yellow
2012,7166065.0,yellow
2013,7485037.0,yellow
2014,7579101.0,yellow
2015,7787540.0,yellow
2016,3690810.0,yellow
2013,33204.0,green
2014,489123.0,green
2015,707701.0,green
2016,380826.0,green
